"Alphalipothrixvirus SBFV2"
"Escherichia virus chee24"
"Escherichia virus DT5712"
"Escherichia virus DT57C"
"Escherichia virus FFH1"
"Escherichia virus fp01"
"Escherichia virus Gostya9"
"Escherichia virus H8"
"Escherichia virus HdH2"
"Escherichia virus mar004NP2"
"Escherichia virus OSYSP"
"Escherichia virus phiAPCEc03"
"Escherichia virus phiLLS"
"Escherichia virus slur09"
"Escherichia virus SP15"
"Escherichia virus T5"
"Escherichia virus VEc33"
"Phage NBEco001"
"Phage NBEco002"
"Phage NBSal003"
"Phage NBSal005"
"Salmonella virus L6jm"
"Salmonella virus NR01"
"Salmonella virus oldekolle"
"Salmonella virus S131"
"Salmonella virus SE11"
"Salmonella virus Shivani"
"Salmonella virus SP01"
"Salmonella virus SP3"
"Salmonella virus SPC35"
"Salmonella virus Th1"
"Salmonella virus VSe12"
"Shigella virus SHSML45"
"Shigella virus SSP1"
"Pectobacterium virus DUPPV"
"Pectobacterium virus My1"
"Proteus virus PM135"
"Proteus virus Stubb"
"Vibrio virus PG07"
"Vibrio virus VspSw1"
"Aeromonas virus AhSzq1"
"Aeromonas virus AhSzw1"
"Klebsiella virus IME260"
"Klebsiella virus Sugarland"
"Escherichia virus IME542"
"Escherichia virus ACGM12"
"Escherichia virus EC3a"
"Escherichia virus DTL"
"Escherichia virus IME253"
"Escherichia virus Rtp"
"Escherichia virus 12210I"
"Shigella virus Sf12"
"Escherichia virus phiEB49"
"Escherichia virus AHP42"
"Escherichia virus AHS24"
"Escherichia virus AKS96"
"Escherichia virus C119"
"Escherichia virus E41c"
"Escherichia virus Jk06"
"Escherichia virus KP26"
"Escherichia virus phiJLA23"
"Escherichia virus Rogue1"
"Shigella virus Sd1"
"Escherichia virus PHB17"
"Escherichia virus W011D"
"Escherichia virus aalborv"
"Escherichia virus aaroes"
"Escherichia virus damhaus"
"Escherichia virus egaa"
"Escherichia virus G29-2"
"Escherichia virus grams"
"Escherichia virus haarsle"
"Escherichia virus Henu8"
"Escherichia virus herni"
"Escherichia virus PGN590"
"Escherichia virus vojen"
"Salmonella virus slyngel"
"Shigella virus 2019SD1"
"Shigella virus pSf1"
"Escherichia virus Henu7"
"Citrobacter virus DK2017"
"Citrobacter virus Sazh"
"Citrobacter virus Stevie"
"Escherichia virus LL5"
"Escherichia virus TLS"
"Salmonella virus 36"
"Salmonella virus PHB07"
"Salmonella virus phSE2"
"Salmonella virus SP126"
"Salmonella virus YSP2"
"Escherichia virus 95"
"Escherichia virus atuna"
"Escherichia virus mar001J1"
"Escherichia virus SECphi27"
"Escherichia virus SLUR29"
"Escherichia virus swan01"
"Escherichia virus tiwna"
"Escherichia virus tonijn"
"Escherichia virus tonn"
"Escherichia virus tonnikala"
"Escherichia virus tunus"
"Shigella virus JK16"
"Escherichia virus IME347"
"Escherichia virus SRT8"
"Escherichia virus ADB2"
"Escherichia virus BIFF"
"Escherichia virus DELF2"
"Escherichia virus IME18"
"Escherichia virus JMPW1"
"Escherichia virus JMPW2"
"Escherichia virus SH2"
"Escherichia virus T1"
"Shigella virus 008"
"Shigella virus ISF001"
"Shigella virus PSf2"
"Shigella virus Sfin1"
"Shigella virus Sfin3"
"Shigella virus SH6"
"Shigella virus Shfl1"
"Shigella virus ISF002"
"Enterobacter virus EcL1"
"Cronobacter virus PhiCS01"
"Citrobacter virus HCF1"
"Vibrio virus GwaliVC1"
"Cronobacter virus CS01"
"Cronobacter virus Esp2949-1"
"Escherichia virus ESCO41"
"Pantoea virus AAS23"
"Escherichia virus NBD2"
"Enterobacter virus F20"
"Klebsiella virus 13"
"Klebsiella virus 1513"
"Klebsiella virus Alina"
"Klebsiella virus Call"
"Klebsiella virus Domnhall"
"Klebsiella virus FZ10"
"Klebsiella virus GHK3"
"Klebsiella virus IMGroot"
"Klebsiella virus JY917"
"Klebsiella virus KL"
"Klebsiella virus KLPN1"
"Klebsiella virus KLPPOU149"
"Klebsiella virus KOX1"
"Klebsiella virus KP36"
"Klebsiella virus KP1801"
"Klebsiella virus KpCol1"
"Klebsiella virus KpKT21phi1"
"Klebsiella virus KPN N141"
"Klebsiella virus KpV522"
"Klebsiella virus MezzoGao"
"Klebsiella virus NJS1"
"Klebsiella virus PhiKpNIH2"
"Klebsiella virus PKP126"
"Klebsiella virus SegesCirculi"
"Klebsiella virus Shelby"
"Klebsiella virus Sin4"
"Klebsiella virus Skenny"
"Klebsiella virus Sushi"
"Klebsiella virus Sweeny"
"Klebsiella virus TAH8"
"Klebsiella virus TSK1"
"Clostridium virus CpV1"
"Clostridium virus CPD2"
"Clostridium virus CPS1"
"Clostridium virus phi24R"
"Clostridium virus CPS2"
"Clostridium virus phiCP7R"
"Clostridium virus phiCPV4"
"Clostridium virus phiZP2"
"Clostridium virus susfortuna"
"Bacillus virus Agate"
"Bacillus virus Bobb"
"Bacillus virus Bp8pC"
"Bacillus virus Bastille"
"Bacillus virus CAM003"
"Bacillus virus Evoli"
"Bacillus virus HoodyT"
"Bacillus virus AvesoBmore"
"Bacillus virus B4"
"Bacillus virus Bigbertha"
"Bacillus virus Riley"
"Bacillus virus Spock"
"Bacillus virus Troll"
"Bacillus virus Bc431"
"Bacillus virus Bcp1"
"Bacillus virus BCP82"
"Bacillus virus BM15"
"Bacillus virus Deepblue"
"Bacillus virus JBP901"
"Bacillus virus Eldridge"
"Bacillus virus vBBmeMGoe8"
"Bacillus virus vBBsuMGoe3"
"Bacillus virus BSP38"
"Bacillus virus Mater"
"Bacillus virus Moonbeam"
"Bacillus virus Grass"
"Bacillus virus NIT1"
"Bacillus virus SPG24"
"Bacillus virus Shbh1"
"Bacillus virus SIOphi"
"Bacillus virus BCP78"
"Bacillus virus TsarBomba"
"Bacillus virus BPS13"
"Bacillus virus BPS10C"
"Bacillus virus Hakuna"
"Bacillus virus Megatron"
"Bacillus virus WPh"
"Enterococcus virus ECP3"
"Enterococcus virus EF24C"
"Enterococcus virus EFLK1"
"Enterococcus virus EFDG1"
"Enterococcus virus EFP01"
"Enterococcus virus EfV12"
"Listeria virus A511"
"Listeria virus AG20"
"Listeria virus List36"
"Listeria virus LMSP25"
"Listeria virus LMTA34"
"Listeria virus LMTA148"
"Listeria virus LP048"
"Listeria virus LP064"
"Listeria virus LP083-2"
"Listeria virus P100"
"Listeria virus WIL1"
"Bacillus virus Camphawk"
"Bacillus virus SPO1"
"Bacillus virus CP51"
"Bacillus virus JL"
"Bacillus virus Shanette"
"Staphylococcus virus BS1"
"Staphylococcus virus BS2"
"Staphylococcus virus G1"
"Staphylococcus virus G15"
"Staphylococcus virus JD7"
"Staphylococcus virus K"
"Staphylococcus virus MCE2014"
"Staphylococcus virus P108"
"Staphylococcus virus Rodi"
"Staphylococcus virus S253"
"Staphylococcus virus S25-4"
"Staphylococcus virus SA12"
"Staphylococcus virus Sb1"
"Staphylococcus virus SscM1"
"Staphylococcus virus IPLAC1C"
"Staphylococcus virus SEP1"
"Staphylococcus virus Remus"
"Staphylococcus virus SA11"
"Staphylococcus virus Stau2"
"Staphylococcus virus Twort"
"Lactobacillus virus LpeD"
"Lactobacillus virus Bacchae"
"Lactobacillus virus Bromius"
"Lactobacillus virus Iacchus"
"Lactobacillus virus Lpa804"
"Lactobacillus virus Semele"
"Lactobacillus virus LfeInf"
"Lactobacillus virus Lb338-1"
"Lactobacillus virus LP65"
"Lactobacillus virus 521B"
"Lactobacillus virus SAC12B"
"Lactobacillus virus 3-521"
"Brochothrix virus A9"
